title,mc_score,release,mc_url,steam_url
Family Guy: Back to the Multiverse,,NULL,http://www.metacritic.com/game/pc/family-guy-back-to-the-multiverse,http://store.steampowered.com/app/214230
Party of Sin,,2012-12-13,http://www.metacritic.com/game/xbox-360/party-of-sin,http://store.steampowered.com/app/212700/
The Cave,,2013-01-01,http://www.metacritic.com/game/pc/the-cave,http://store.steampowered.com/app/221810/
Dead Pixels,,2012-12-07,http://www.metacritic.com/game/pc,http://store.steampowered.com/app/222980
Ms. Splosion Man,,2013-04-03,http://www.metacritic.com/game/pc/ms-splosion-man,http://store.steampowered.com/app/105420
Sacred Citadel,,2013-04-17,http://www.metacritic.com/game/pc/sacred-citadel,http://store.steampowered.com/app/207930
Pressure,,2013-04-26,http://www.metacritic.com/game/pc/pressure,http://store.steampowered.com/app/224220
Slam Bolt Scrappers,,2013-03-14,http://www.metacritic.com/game/pc/slam-bolt-scrappers,http://store.steampowered.com/app/96900
Monaco,,2013-04-30,http://www.metacritic.com/game/pc/monaco-whats-yours-is-mine,http://store.steampowered.com/app/113020
Bang Bang Racing,,2012-06-08,http://www.metacritic.com/game/pc/bang-bang-racing,http://store.steampowered.com/app/207020
Super Puzzle Platformer Deluxe,,2013-05-24,http://www.metacritic.com/game/pc/super-puzzle-platformer-deluxe,http://www.metacritic.com/game/pc/super-puzzle-platformer-deluxe
SlamIt Pinball Big Score,,2009-02-23,http://www.metacritic.com/game/pc/slamit-pinball-big-score,http://store.steampowered.com/app/12430
The Chaos Engine,,2013-08-29,http://www.metacritic.com/game/pc/the-chaos-engine,http://store.steampowered.com/app/242530
FORCED,,2013-10-24,http://www.metacritic.com/game/pc,http://store.steampowered.com/app/249990
Assault Android Cactus,,2013-08-28,http://www.metacritic.com/game/pc,http://store.steampowered.com/app/250110
Rayman Legends,,2013-09-23,http://www.metacritic.com/game/pc/rayman-legends,http://store.steampowered.com/app/242550
Teenage Mutant Ninja Turtles: Out of the Shadows,,2013-08-28,http://www.metacritic.com/game/pc/teenage-mutant-ninja-turtles-out-of-the-shadows,http://store.steampowered.com/app/228560
PixelJunk™ Monsters Ultimate,,2013-08-26,http://www.metacritic.com/game/pc/pixeljunk-monsters-ultimate,http://store.steampowered.com/app/243780
SpeedRunners,,2013-08-26,http://www.metacritic.com/game/pc,http://store.steampowered.com/app/207140
Mercenary Kings,,2013-07-22,http://www.metacritic.com/game/pc/mercenary-kings,http://store.steampowered.com/app/218820
Bloody Trapland,,2013-10-27,http://www.metacritic.com/game/pc/bloody-trapland,http://store.steampowered.com/app/257750
Divekick,,2013-08-20,http://www.metacritic.com/game/pc/divekick,http://store.steampowered.com/app/244730
Tiny Brains Friends And Family,,2013-12-01,http://www.metacritic.com/game/pc,http://store.steampowered.com/app/253690
RainBlood Chronicles: Mirage,,2013-11-11,http://www.metacritic.com/game/pc/rain-blood-chronicles-mirage,http://store.steampowered.com/app/240660
Risk of Rain,,2013-11-08,http://www.metacritic.com/game/pc/risk-of-rain,http://store.steampowered.com/app/248820
Injustice: Gods Among Us Ultimate Edition,,2013-11-12,http://www.metacritic.com/game/pc/injustice-gods-among-us---ultimate-edition,http://store.steampowered.com/app/242700
Hive,,2013-11-15,http://www.metacritic.com/game/pc/hive,http://store.steampowered.com/app/251210
Blood Knights,,2013-11-13,http://www.metacritic.com/game/pc/blood-knights,http://store.steampowered.com/app/258220
PixelJunk Shooter,,2013-11-11,http://www.metacritic.com/game/pc/pixeljunk-shooter,http://store.steampowered.com/app/255870
Final Exam,,2013-11-05,http://www.metacritic.com/game/pc/final-exam,http://store.steampowered.com/app/233190
Artemis Spaceship Bridge Simulator,,2013-09-17,http://www.metacritic.com/game/pc/artemis-spaceship-bridge-simulator,http://store.steampowered.com/app/247350
IHF Handball Challenge 14,,2014-03-28,http://www.metacritic.com/game/pc/ihf-handball-challenge-14,http://store.steampowered.com/app/279460
Strategic War in Europe,,2014-03-21,http://www.metacritic.com/game/pc/strategic-war-in-europe,http://store.steampowered.com/app/283000
Revolution Ace,,2014-03-19,http://www.metacritic.com/game/pc/revolution-ace,http://store.steampowered.com/app/274560
Nom Nom Galaxy,,2014-03-13,http://www.metacritic.com/game/pc/nom-nom-galaxy,http://store.steampowered.com/app/226100
Procyon,,2014-02-26,http://www.metacritic.com/game/pc/procyon,http://store.steampowered.com/app/266250
Talisman: Digital Edition,,2014-02-25,http://www.metacritic.com/game/pc/talisman-digital-edition,http://store.steampowered.com/app/247000
PAC-MAN MUSEUM,,2014-02-26,http://www.metacritic.com/game/pc/pac-man-museum,http://store.steampowered.com/app/236470
Ikaruga,,2014-02-18,http://www.metacritic.com/game/pc/ikaruga,http://store.steampowered.com/app/253750
Let's Sing,,2014-02-13,http://www.metacritic.com/game/pc/lets-sing,
The LEGO® Movie - Videogame,,2014-02-07,http://www.metacritic.com/game/pc/the-lego-movie-videogame,http://store.steampowered.com/app/267530
Metal Slug 3,,2014-02-14,http://www.metacritic.com/game/pc/metal-slug-3,http://store.steampowered.com/app/250180
Aqua Kitty - Milk Mine Defender,,2014-02-03,http://www.metacritic.com/game/pc/aqua-kitty-milk-mine-defender,http://store.steampowered.com/app/263880
Aces Wild: Manic Brawling Action!,,2013-08-08,http://www.metacritic.com/game/pc/aces-wild-manic-brawling-action!,http://store.steampowered.com/app/269230
